requirement,fretish-timing
R1,eventually
R1.1,eventually
R1.2,eventually
R1.3,eventually
R1.3.1,eventually
R1.3.2,eventually
R1.4,eventually
R1.5,eventually
R1.5.1,eventually
R1.5.2,eventually
R1.6,eventually
R1.7,eventually
R1.8,eventually
R1.9,eventually
R2,always
R2.1,always
R2.2,always
R2.2.1,eventually
R2.2.2,eventually
R2.3,eventually
